"","What grade are you in?","What is/are your favourite subjects?","What is your ethnic background?","What is your academic stream?","What departments do you work in at Mackenzie?","Ham between two slices of bread","Bacon, lettuce, and tomato between two slices of bread","Grilled cheese","Panini","Sub","Hamburger","Hotdog","Ice cream between two cookies","Buritto","Taco","Calzone","Quesadilla","Open-faced sandwich","Pizza","Two slices of pizza, face down, on top of each other","Slice of bread between two more slices of bread","Oreo cookie","Ritz cracker","Sushi burrito","Nigiri sushi","Slice of cheese","Salad with croutons","Brick between two slices of bread","Cold cuts","Tomato","Cheese","Lettuce","Mayonnaise","Mustard","Ketchup","Carrot","Peanut butter","Jelly","Olives","Fish","Egg","Fruit","Chicken foot","Rice","Potato","Soup","Pasta","Grass"
"13","Grade 12","English","Middle Eastern","Gifted","",8,10,7,5,10,3,0,1,0,0,5,5,8,0,0,0,1,0,0,0,0,0,10,10,10,10,10,10,10,10,3,10,10,7,9,4,0,0,0,0,0,0,0
"14","Grade 12","Science","South Asian","MaCS","",10,10,10,10,10,10,10,10,0,10,0,10,0,0,10,10,10,10,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"15","Grade 12","Business;Math","Chinese","MaCS","",9,9,9,6,7,5,7,2,0,2,0,1,9,1,1,0,3,3,1,0,0,0,9,8,8,8,8,8,8,8,4,8,3,7,6,8,2,1,1,3,0,2,5
"16","Grade 11","Computer Science and Technology;Science","Korean","MaCS","",10,10,10,10,10,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,4,10,10,8,8,10,0,0,4,4,3,2,0
"17","Grade 11","Science","Chinese","MaCS","",10,10,10,10,10,10,10,10,10,10,7,5,0,0,10,10,10,10,10,0,0,0,10,10,10,10,10,10,10,10,5,10,10,10,10,10,5,0,10,10,3,10,0
"18","Grade 11","Arts;Math;Science","Chinese","MaCS","",10,10,10,10,10,10,10,10,0,0,10,10,10,0,0,0,10,10,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0
"19","Grade 12","Math;Science","East Asian","MaCS","",10,10,10,10,10,10,1,10,3,0,0,0,10,0,0,10,0,0,0,0,0,0,0,10,9,9,10,10,10,10,1,8,8,0,0,8,0,0,0,0,0,0,0
"20","Grade 12","Computer Science and Technology","Chinese","MaCS","",10,8,10,8,7,6,4,8,0,2,2,4,5,0,6,10,6,6,0,0,0,0,10,10,10,10,10,10,10,10,8,8,10,7,10,10,7,5,5,9,0,4,5
"21","Grade 12","English;Social Sciences","Vietnamese","Academic","",10,10,8,8,10,9,4,8,1,1,6,6,4,0,6,6,6,6,2,0,0,0,7,10,10,10,10,8,9,6,6,6,8,4,4,10,7,10,0,4,0,0,0
"22","Grade 12","None","Jewish","Academic","",10,10,10,8,9,7,3,7,3,0,2,1,5,0,1,4,0,0,0,0,0,3,6,10,10,10,10,10,10,10,7,10,10,5,10,8,4,0,0,6,0,3,0
